Product,First_Transaction,Last_Transaction,Total_Transactions,Active_Transactions,Days_Since_Last,Days_Active,Transaction_Frequency,ClosingBalance,AgeNumeric
HW91500,2025-11-25,2025-11-25,2,2,1,1,2.0,3.0,0.5
HWAJ4850,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
HWBSCE,2025-11-25,2025-11-25,2,2,1,1,2.0,10.0,0.5
HWBWP01,2025-11-25,2025-11-25,2,2,1,1,2.0,12.0,0.5
HWCG0240,2025-11-25,2025-11-25,2,2,1,1,2.0,6.0,0.5
HWFIR5,2025-11-25,2025-11-25,2,2,1,1,2.0,75.0,0.5
HWTP50,2025-11-25,2025-11-25,2,2,1,1,2.0,2.0,0.5
KWE002,2025-11-25,2025-11-25,2,2,1,1,2.0,40.0,0.5
LTFG05082,2025-11-25,2025-11-25,2,2,1,1,2.0,2.0,0.5
LTFG10178,2025-11-25,2025-11-25,2,2,1,1,2.0,8.0,0.5
LTFG73040,2025-11-25,2025-11-25,2,2,1,1,2.0,10.0,0.5
LTFG73141,2025-11-25,2025-11-25,2,2,1,1,2.0,10.0,0.5
MR130GP12600,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
MSEB010,2025-11-25,2025-11-25,2,2,1,1,2.0,10.0,0.5
MVGB07,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
NB690HB1,2025-11-25,2025-11-25,2,2,1,1,2.0,2.0,0.5
OP731A42,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
OP731A44,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
OSDJA049,2025-11-25,2025-11-25,2,2,1,1,2.0,5.0,0.5
OSP50SQ,2025-11-25,2025-11-25,2,2,1,1,2.0,30.0,0.5
OSTFPST,2025-11-25,2025-11-25,2,2,1,1,2.0,50.0,0.5
OSTVK11,2025-11-25,2025-11-25,2,2,1,1,2.0,10.0,0.5
OSWL001,2025-11-25,2025-11-25,2,2,1,1,2.0,12.0,0.5
OSWP021,2025-11-25,2025-11-25,2,2,1,1,2.0,8.0,0.5
OT00043872,2025-11-25,2025-11-25,2,2,1,1,2.0,10.0,0.5
OTAS8265,2025-11-25,2025-11-25,2,2,1,1,2.0,10.0,0.5
OTC150SK,2025-11-25,2025-11-25,2,2,1,1,2.0,10.0,0.5
OTELS401008005B,2025-11-25,2025-11-25,2,2,1,1,2.0,15.0,0.5
OTF200R2,2025-11-25,2025-11-25,2,2,1,1,2.0,10.0,0.5
OTF200TS,2025-11-25,2025-11-25,2,2,1,1,2.0,15.0,0.5
OTF250FF,2025-11-25,2025-11-25,2,2,1,1,2.0,10.0,0.5
OTF250PB,2025-11-25,2025-11-25,2,2,1,1,2.0,10.0,0.5
OTF250R2,2025-11-25,2025-11-25,2,2,1,1,2.0,10.0,0.5
OTF25HR2,2025-11-25,2025-11-25,2,2,1,1,2.0,15.0,0.5
OTFFB300,2025-11-25,2025-11-25,2,2,1,1,2.0,10.0,0.5
OTFFB351,2025-11-25,2025-11-25,2,2,1,1,2.0,10.0,0.5
OTFSC300,2025-11-25,2025-11-25,2,2,1,1,2.0,10.0,0.5
OTGC150,2025-11-25,2025-11-25,2,2,1,1,2.0,15.0,0.5
OTHCD12,2025-11-25,2025-11-25,2,2,1,1,2.0,10.0,0.5
OTRB300,2025-11-25,2025-11-25,2,2,1,1,2.0,10.0,0.5
OTRCL,2025-11-25,2025-11-25,2,2,1,1,2.0,21.0,0.5
OTRCS300,2025-11-25,2025-11-25,2,2,1,1,2.0,40.0,0.5
OTRFT10,2025-11-25,2025-11-25,2,2,1,1,2.0,10.0,0.5
OTRFT20,2025-11-25,2025-11-25,2,2,1,1,2.0,20.0,0.5
OTRFUTK7,2025-11-25,2025-11-25,2,2,1,1,2.0,15.0,0.5
OTRMS150,2025-11-25,2025-11-25,2,2,1,1,2.0,10.0,0.5
OTRTTK2,2025-11-25,2025-11-25,2,2,1,1,2.0,20.0,0.5
OTTM4123,2025-11-25,2025-11-25,2,2,1,1,2.0,4.0,0.5
OTTS500WHD,2025-11-25,2025-11-25,2,2,1,1,2.0,2.0,0.5
OTZ20RRB,2025-11-25,2025-11-25,2,2,1,1,2.0,10.0,0.5
OTZ25HRB,2025-11-25,2025-11-25,2,2,1,1,2.0,10.0,0.5
OURK040008,2025-11-25,2025-11-25,2,2,1,1,2.0,20.0,0.5
OURK850002,2025-11-25,2025-11-25,2,2,1,1,2.0,20.0,0.5
OURK890002,2025-11-25,2025-11-25,2,2,1,1,2.0,10.0,0.5
PA00SPRAY5992,2025-11-25,2025-11-25,2,2,1,1,2.0,72.0,0.5
PA5084781,2025-11-25,2025-11-25,2,2,1,1,2.0,2.0,0.5
PA5084782,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
PA5092965,2025-11-25,2025-11-25,2,2,1,1,2.0,2.0,0.5
PADAWW20,2025-11-25,2025-11-25,2,2,1,1,2.0,2.0,0.5
PADEXBG5,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
PADFIBR1,2025-11-25,2025-11-25,2,2,1,1,2.0,2.0,0.5
PADFIBR5,2025-11-25,2025-11-25,2,2,1,1,2.0,3.0,0.5
PADFIBRO1,2025-11-25,2025-11-25,2,2,1,1,2.0,4.0,0.5
PADFICO1,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
PADFIGR500,2025-11-25,2025-11-25,2,2,1,1,2.0,2.0,0.5
PADFIWH5,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
PADFIWH500,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
PADGEI5,2025-11-25,2025-11-25,2,2,1,1,2.0,5.0,0.5
PADGESR5,2025-11-25,2025-11-25,2,2,1,1,2.0,3.0,0.5
PADME5,2025-11-25,2025-11-25,2,2,1,1,2.0,2.0,0.5
PADQDESR5,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
PADRB20,2025-11-25,2025-11-25,2,2,1,1,2.0,2.0,0.5
PADRGSTES20,2025-11-25,2025-11-25,2,2,1,1,2.0,2.0,0.5
PADROGF20,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
PADRR20,2025-11-25,2025-11-25,2,2,1,1,2.0,2.0,0.5
PADRSG5,2025-11-25,2025-11-25,2,2,1,1,2.0,1.0,0.5
PADSFBL500,2025-11-25,2025-11-25,2,2,1,1,2.0,2.0,0.5
